2020.10.28 13:52:10	=====================FTP Server start!====================
2020.10.28 13:52:10	Listen Port: 21
2020.10.28 13:52:10	Local IP Address: 183.172.170.162
2020.10.28 13:52:10	Root Path: /tmp
2020.10.28 13:52:24	USER 123

2020.10.28 13:52:25	PASS 123

2020.10.28 13:52:25	SYST

2020.10.28 13:52:28	PASV

2020.10.28 13:52:28	LIST

2020.10.28 13:52:30	CWD spb

2020.10.28 13:52:32	PASV

2020.10.28 13:52:32	LIST

2020.10.28 13:52:50	CWD hello2

2020.10.28 13:52:53	QUIT

2020.10.28 13:52:53	Client disconnected
2020.10.28 14:39:11	=====================FTP Server start!====================
2020.10.28 14:39:11	Listen Port: 21
2020.10.28 14:39:11	Local IP Address: 183.172.170.162
2020.10.28 14:39:11	Root Path: /tmp
2020.10.28 14:39:21	USER 123

2020.10.28 14:39:22	PASS 123

2020.10.28 14:39:22	SYST

2020.10.28 14:39:25	PASV

2020.10.28 14:39:25	LIST

2020.10.28 14:39:27	CWD spb

2020.10.28 14:39:28	PASV

2020.10.28 14:39:28	LIST

2020.10.28 14:39:35	PORT 127,0,0,1,204,161

2020.10.28 14:39:35	LIST

2020.10.28 14:39:39	CWD hello2

2020.10.28 14:39:42	PORT 127,0,0,1,136,97

2020.10.28 14:39:42	LIST

2020.10.28 14:39:49	TYPE I

2020.10.28 14:39:49	PORT 127,0,0,1,146,19

2020.10.28 14:39:49	RETR pic1.jpg

2020.10.28 14:39:56	PORT 127,0,0,1,131,129

2020.10.28 14:39:56	STOR pic1.jpg

2020.10.28 14:40:05	PASV

2020.10.28 14:40:05	STOR pic1.jpg

2020.10.28 14:40:08	PASV

2020.10.28 14:40:08	RETR pic1.jpg

